"workerid","language","enjoyment","gender","age","comments","asses","education"
0,"english",1,"Male",26,NA,"Yes",1
1,"English",1,"Female",32,NA,"Yes",4
2,"English",1,"Male",29,NA,"Yes",2
3,"English",1,"Female",39,NA,"Yes",3
4,"English",2,"Male",33,NA,"Yes",1
5,"English",0,"Male",33,NA,"Yes",3
6,"english",1,"Female",29,NA,"Yes",1
7,"English",1,"Male",36,NA,"Yes",1
8,"English",1,"Male",44,NA,"Confused",1
9,"english",1,"Male",34,"","Yes",2
10,"English",1,"Male",27,"","Yes",2
11,"english",1,"Male",53,"","Yes",2
12,"English",2,"Female",38,"","Yes",3
13,"english",1,"Male",23,"","Yes",2
14,"english",0,"Male",26,"","Yes",2
15,"english",0,"Female",31,"Longer timer, higher pay.","Yes",3
16,"English",1,"Male",29,"","Yes",3
17,"english",1,"Male",25,"","Yes",2
