workerid,language,enjoyment,gender,age,comments,asses,education
0,English,0,Male,33,It was kinda hard,Yes,3
1,english,1,Male,27,,Yes,3
2,English,2,Female,29,Interesting experiment!,Yes,3
3,english,1,Female,24,,Yes,1
4,English,1,Male,34,,Yes,4
5,English,1,Male,28,,Yes,3
6,English,1,Female,27,,Yes,4
7,English,1,Female,31,,Yes,3
8,english,1,Male,34,,Yes,3
9,English,1,Male,29,none,Yes,-1
10,English,1,Male,45,,Yes,4
11,english,1,Female,24,,Yes,2
12,English,1,Female,50,The instructions did seem confusing but I believe I was able to do it correctly.,Yes,2
13,,1,Female,51,,Confused,3
14,English,0,Male,37,,Yes,3
