"workerid","language","enjoyment","gender","age","comments","asses","education"
0,"english",1,"Female",38,"","Yes",3
1,"English",1,"Male",46,"","Yes",4
2,"English",1,"Female",33,"","Yes",3
3,"English",0,"Male",63,"really really dry.","Yes",4
4,"English",1,"Male",44,"","Yes",1
5,"Cantonese",1,"Male",25,"Great Hit!","No",2
6,"english",1,"Male",51,"","Yes",4
7,"english ",1,"Female",34,"","Confused",3
8,"English",1,"Female",27,"","Yes",2
9,"english",1,"Female",21,NA,"Yes",2
10,"english",1,"Male",30,"nnone","Yes",2
11,"English",1,"Male",27,"","Yes",3
12,"English",1,"Male",29,"","Yes",3
13,"english",1,"Male",25,"","Yes",2
14,"english",2,"Female",29,"","Yes",3
15,"English",1,"Female",26,"","Yes",3
16,"English",1,"Female",40,"","Yes",3
17,"English",2,"Female",24,"It was interesting! I liked it.","Yes",2
18,"English",2,"Male",46,"","Yes",4
19,"English",1,"Male",25,"None","Yes",2
