workerid,language,enjoyment,gender,age,comments,asses,education
0,English,2,Female,28,,Yes,2
1,English,1,Male,28,interesting,Yes,3
2,english,1,Female,44,,Yes,3
3,English,1,Male,29,,Yes,2
4,English,1,Male,44,,Yes,1
5,english,1,Male,25,,Yes,3
6,english ,2,Male,21,,Yes,4
7,English,1,Male,23,none,Yes,2
8,English,1,Female,42,Reading the mumblex and ums and ahs was SUPER annoying.,Yes,3
