"workerid","instructions2_reading_time","instructions_reading_time"
0,NA,63010
0,23759,NA
1,NA,132908
1,32083,NA
2,NA,21122
2,28071,NA
3,NA,30798
3,40815,NA
4,NA,159603
4,10749,NA
5,NA,79359
5,11485,NA
6,NA,155051
6,50442,NA
7,NA,52079
7,21524,NA
8,NA,48828
8,41603,NA
9,NA,13932
9,9760,NA
10,NA,31601
10,16491,NA
11,NA,65127
11,12427,NA
12,NA,118366
12,12738,NA
13,NA,16756
13,7994,NA
14,NA,50580
14,28767,NA
15,NA,2350
15,4153,NA
16,NA,31756
16,14571,NA
17,NA,1325
17,2961,NA
